Zip,City,State,Lat,Long
01864,NORTH READING,MA,42.5811998,-71.09476496
01867,READING,MA,42.52617641,-71.1083464
01876,TEWKSBURY,MA,42.60630954,-71.22327389
01879,TYNGSBORO,MA,42.66778615,-71.41918628
01880,WAKEFIELD,MA,42.50131038,-71.06755271
01886,WESTFORD,MA,42.58893952,-71.43918649
01887,WILMINGTON,MA,42.55846917,-71.17259236
01890,WINCHESTER,MA,42.45356848,-71.14372826
01901,LYNN,MA,42.46316225,-70.94562647
01902,LYNN,MA,42.46915567,-70.94055237
01904,LYNN,MA,42.48760805,-70.96211575
01905,LYNN,MA,42.46460835,-70.97244219
01906,SAUGUS,MA,42.46393229,-71.01276121
01907,SWAMPSCOTT,MA,42.47485747,-70.90876635
01908,NAHANT,MA,42.4258295,-70.92752874
01913,AMESBURY,MA,42.85491644,-70.93601639
01915,BEVERLY,MA,42.56037237,-70.87738951
01921,BOXFORD,MA,42.67886163,-71.00969099
01922,BYFIELD,MA,42.75379731,-70.92795518
01923,DANVERS,MA,42.56947867,-70.94444509
01929,ESSEX,MA,42.63075473,-70.78175274
01930,GLOUCESTER,MA,42.6215535,-70.67208341
01938,IPSWICH,MA,42.68150486,-70.84919846
01940,LYNNFIELD,MA,42.52873126,-71.02927099
01944,MANCHESTER,MA,42.57866779,-70.76612988
01945,MARBLEHEAD,MA,42.49923702,-70.86324858
01949,MIDDLETON,MA,42.59595972,-71.0106225
01950,NEWBURYPORT,MA,42.81285775,-70.88274783
01951,NEWBURY,MA,42.79073404,-70.8411908
01952,SALISBURY,MA,42.84860514,-70.85085578
01960,PEABODY,MA,42.53323149,-70.95926161
01966,ROCKPORT,MA,42.65837321,-70.61942019
01969,ROWLEY,MA,42.71471793,-70.90845696
01970,SALEM,MA,42.51455939,-70.90097288
01982,SOUTH HAMILTON,MA,42.61829131,-70.85688992
01983,TOPSFIELD,MA,42.64137505,-70.94783224
01984,WENHAM,MA,42.6017714,-70.88796863
01985,WEST NEWBURY,MA,42.7953103,-70.9776761
02019,BELLINGHAM,MA,42.07333983,-71.4755785
02021,CANTON,MA,42.16413333,-71.13134593
02025,COHASSET,MA,42.23943033,-70.81308493
02026,DEDHAM,MA,42.24430021,-71.16592997
02030,DOVER,MA,42.23458222,-71.28320848
02032,EAST WALPOLE,MA,42.15548411,-71.21691304
02035,FOXBORO,MA,42.06335597,-71.24200254
02038,FRANKLIN,MA,42.08993232,-71.40543753
02043,HINGHAM,MA,42.22502629,-70.89728573
02045,HULL,MA,42.28379853,-70.87270581
02048,MANSFIELD,MA,42.02344624,-71.21341573
02050,MARSHFIELD,MA,42.10656748,-70.70190787
02052,MEDFIELD,MA,42.18558838,-71.30404135
02053,MEDWAY,MA,42.15184123,-71.42339828
02054,MILLIS,MA,42.16839071,-71.36361577
02056,NORFOLK,MA,42.11797215,-71.33278757
02061,NORWELL,MA,42.1598043,-70.82238047
02062,NORWOOD,MA,42.18738582,-71.20299687
02066,SCITUATE,MA,42.20373775,-70.75142386
02067,SHARON,MA,42.11232014,-71.17810537
02071,SOUTH WALPOLE,MA,42.10041592,-71.27206389
02072,STOUGHTON,MA,42.12677527,-71.10760261
02081,WALPOLE,MA,42.14685927,-71.2500906
02090,WESTWOOD,MA,42.21701623,-71.20736627
02093,WRENTHAM,MA,42.05830869,-71.34406885
02108,BOSTON,MA,42.35571198,-71.06724095
02109,BOSTON,MA,42.36314377,-71.0536417
02110,BOSTON,MA,42.35768244,-71.05392759
02111,BOSTON,MA,42.35179575,-71.06179505
02113,BOSTON,MA,42.36531771,-71.05514348
02114,BOSTON,MA,42.36250768,-71.06520113
02115,BOSTON,MA,42.34309299,-71.09096194
02116,BOSTON,MA,42.34950981,-71.07468473
02118,BOSTON,MA,42.3404672,-71.07313441
02119,ROXBURY,MA,42.32301513,-71.08707579
02120,ROXBURY CROSSING,MA,42.33280284,-71.09718351
02121,DORCHESTER,MA,42.30800026,-71.08275716
02122,DORCHESTER,MA,42.29700699,-71.0575133
02124,DORCHESTER CENTER,MA,42.28747079,-71.07228147
02125,DORCHESTER,MA,42.31670851,-71.05922314
02126,MATTAPAN,MA,42.27562363,-71.09095817
02127,SOUTH BOSTON,MA,42.33475004,-71.04495537
02128,EAST BOSTON,MA,42.3767046,-71.02984326
02129,CHARLESTOWN,MA,42.37801671,-71.06210516
02130,JAMAICA PLAIN,MA,42.31260149,-71.11096864
02131,ROSLINDALE,MA,42.28329758,-71.12894893
02132,WEST ROXBURY,MA,42.27811153,-71.15769044
02134,ALLSTON,MA,42.35269515,-71.13287153
02135,BRIGHTON,MA,42.34684369,-71.15124124
02136,HYDE PARK,MA,42.25608767,-71.12330984
02138,CAMBRIDGE,MA,42.37867486,-71.12769162
02139,CAMBRIDGE,MA,42.36545377,-71.10479013
02140,CAMBRIDGE,MA,42.3927802,-71.13201942
02141,CAMBRIDGE,MA,42.37091875,-71.08264326
02142,CAMBRIDGE,MA,42.36356399,-71.08308921
02143,SOMERVILLE,MA,42.3827586,-71.10172671
02144,SOMERVILLE,MA,42.40033871,-71.12183033
02145,SOMERVILLE,MA,42.39159383,-71.09068965
02148,MALDEN,MA,42.42990917,-71.05863078
02149,EVERETT,MA,42.41102069,-71.05166084
02150,CHELSEA,MA,42.39649773,-71.03233497
02151,REVERE,MA,42.41511184,-71.00336267
02152,WINTHROP,MA,42.37761561,-70.97935396
02155,MEDFORD,MA,42.41619757,-71.10509639
02163,BOSTON,MA,42.36505592,-71.11970549
02169,QUINCY,MA,42.24788232,-70.99929177
02170,QUINCY,MA,42.26728564,-71.01877333
02171,QUINCY,MA,42.28315645,-71.02665899
02176,MELROSE,MA,42.45668373,-71.06378608
02180,STONEHAM,MA,42.4818233,-71.09739958
02184,BRAINTREE,MA,42.20817405,-70.99528617
02186,MILTON,MA,42.25347243,-71.07776373
02188,WEYMOUTH,MA,42.20750515,-70.95653653
02189,EAST WEYMOUTH,MA,42.2114511,-70.93136616
02190,SOUTH WEYMOUTH,MA,42.16919366,-70.94911072
02191,NORTH WEYMOUTH,MA,42.24574627,-70.94110209
02199,BOSTON,MA,42.34878515,-71.08130464
02210,BOSTON,MA,42.35054356,-71.04566749
02215,BOSTON,MA,42.34603051,-71.10036568
02301,BROCKTON,MA,42.08219025,-71.03397864
02302,BROCKTON,MA,42.08853544,-71.00192454
02322,AVON,MA,42.12503185,-71.04257689
02324,BRIDGEWATER,MA,41.98175502,-70.97342104
02330,CARVER,MA,41.88926886,-70.76868557
02332,DUXBURY,MA,42.03822041,-70.71646519
02333,EAST BRIDGEWATER,MA,42.03227972,-70.943778
02338,HALIFAX,MA,41.99808067,-70.84976124
02339,HANOVER,MA,42.12456489,-70.85531942
02341,HANSON,MA,42.0607176,-70.86816631
02343,HOLBROOK,MA,42.14738421,-71.00856093
02346,MIDDLEBORO,MA,41.89211971,-70.89330609
02347,LAKEVILLE,MA,41.84013027,-70.95618224
02351,ABINGTON,MA,42.11681981,-70.95538573
02356,NORTH EASTON,MA,42.05583977,-71.11474909
02359,PEMBROKE,MA,42.06452928,-70.80188112
02360,PLYMOUTH,MA,41.90089578,-70.62808417
02364,KINGSTON,MA,41.99156296,-70.74181079
02367,PLYMPTON,MA,41.96545048,-70.80507992
02368,RANDOLPH,MA,42.17458009,-71.05212068
02370,ROCKLAND,MA,42.12790707,-70.91234677
02375,SOUTH EASTON,MA,42.02562339,-71.09797683
02379,WEST BRIDGEWATER,MA,42.02625087,-71.015198
02382,WHITMAN,MA,42.08084142,-70.93929124
02420,LEXINGTON,MA,42.45556887,-71.2178201
02421,LEXINGTON,MA,42.43418946,-71.23179594
02445,BROOKLINE,MA,42.33257643,-71.12895016
02446,BROOKLINE,MA,42.34291976,-71.12123718
02451,WALTHAM,MA,42.39444745,-71.24661815
02452,WALTHAM,MA,42.39506514,-71.2250685
02453,WALTHAM,MA,42.37000053,-71.23643323
